"","parent","cluster","depth","cellID"
"1",5,1,4,1
"2",5,1,7,2
"3",5,1,4,3
"4",5,1,5,4
"5",5,1,7,5
"6",5,1,7,6
"7",5,1,7,7
"8",5,1,7,8
"9",5,1,4,9
"10",5,1,4,10
"11",5,1,4,11
"12",5,1,4,12
"13",5,1,4,13
"14",5,1,4,14
"15",5,1,4,15
"16",5,1,4,16
"17",5,1,4,17
"18",5,1,4,18
"19",5,1,7,19
"20",5,1,7,20
"21",5,1,4,21
"22",5,1,7,22
"23",5,1,4,23
"24",5,1,4,24
"25",5,1,6,25
"26",5,1,4,26
"27",5,1,4,27
"28",5,1,4,28
"29",5,1,4,29
"30",5,1,4,30
"31",5,1,7,31
"32",5,1,4,32
"33",5,6,5,33
"34",5,6,5,34
"35",5,6,5,35
"36",6,3,10,36
"37",5,6,7,37
"38",5,6,7,38
"39",5,6,7,39
"40",5,6,7,40
"41",6,3,8,41
"42",5,6,5,42
"43",6,3,8,43
"44",6,3,8,44
"45",5,6,7,45
"46",5,6,5,46
"47",5,6,5,47
"48",5,6,5,48
"49",5,6,4,49
"50",5,6,4,50
"51",5,6,6,51
"52",6,3,11,52
"53",6,3,11,53
"54",6,3,8,54
"55",6,3,8,55
"56",6,3,8,56
"57",4,5,1,57
"58",4,5,1,58
"59",4,5,1,59
"60",4,5,1,60
"61",5,1,4,61
"62",5,1,4,62
"63",4,5,0,63
"64",4,5,0,64
"65",5,6,6,65
"66",5,6,6,66
"67",5,6,6,67
"68",5,6,6,68
"69",6,2,12,69
"70",6,2,11,70
"71",6,2,11,71
"72",6,2,12,72
"73",6,3,11,73
"74",6,3,11,74
"75",6,3,11,75
"76",6,3,11,76
"77",6,2,8,77
"78",5,6,6,78
"79",5,6,6,79
"80",5,6,6,80
"81",5,6,6,81
"82",5,6,6,82
"83",5,6,6,83
"84",5,6,6,84
"85",5,6,6,85
"86",5,6,6,86
"87",5,6,6,87
"88",6,3,10,88
"89",6,2,12,89
"90",6,2,12,90
"91",6,2,12,91
"92",6,2,12,92
"93",5,6,7,93
"94",5,6,7,94
"95",5,6,7,95
"96",6,2,8,96
"97",6,2,12,97
"98",6,2,9,98
"99",6,2,9,99
"100",6,2,9,100
"101",6,3,10,101
"102",6,3,10,102
"103",5,6,6,103
"104",6,2,10,104
"105",6,2,8,105
"106",6,2,8,106
"107",6,2,8,107
"108",6,2,8,108
"109",6,2,12,109
"110",6,2,12,110
"111",6,2,12,111
"112",6,2,12,112
"113",6,2,9,113
"114",6,2,9,114
"115",6,2,9,115
"116",6,2,9,116
"117",6,2,12,117
"118",6,2,12,118
"119",6,2,9,119
"120",6,2,9,120
"121",6,2,8,121
"122",6,2,8,122
"123",5,6,6,123
"124",5,6,6,124
"125",5,6,6,125
"126",6,2,12,126
"127",6,2,10,127
"128",5,6,6,128
"129",5,1,7,129
"130",5,1,11,130
"131",5,1,12,131
"132",5,1,12,132
"133",5,6,5,133
"134",4,5,1,134
"135",6,2,8,135
"136",5,6,5,136
"137",4,5,0,137
"138",4,5,0,138
"139",4,5,1,139
"140",4,5,0,140
"141",4,5,0,141
"142",4,5,0,142
"143",4,5,3,143
"144",4,5,0,144
"145",4,5,0,145
"146",4,5,0,146
"147",4,5,1,147
"148",4,5,0,148
"149",5,1,6,149
"150",4,5,2,150
"151",4,5,0,151
"152",4,5,0,152
"153",4,5,2,153
"154",4,5,2,154
"155",5,1,5,155
