"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33"
"4493.1" "2" "0" "9" "2" "0" "3" "4" "0" "0" "0" "12" "0" "2" "5" "4" "0" "2" "0" "2" "3" "0" "0" "0" "2" "5" "0" "0" "0" "8" "0" "2" "2" "1"
"4493.2" "2" "0" "9" "2" "2" "3" "4" "0" "0" "0" "12" "0" "2" "5" "4" "0" "2" "0" "2" "3" "5" "3" "0" "2" "5" "4" "0" "0" "8" "0" "0" "2" "1"
"4493.3" "2" "0" "9" "2" "0" "3" "4" "0" "0" "0" "12" "0" "2" "3" "4" "2" "2" "0" "2" "3" "25" "0" "0" "2" "5" "5" "0" "0" "8" "0" "5" "2" "1"
"4493.4" "2" "0" "9" "2" "0" "3" "4" "37" "5" "0" "12" "0" "2" "0" "4" "2" "2" "0" "2" "3" "0" "0" "3" "2" "5" "5" "0" "2" "8" "0" "5" "2" "1"
"4493.5" "4" "0" "9" "0" "2" "3" "4" "0" "0" "0" "12" "0" "2" "0" "0" "0" "2" "0" "2" "3" "8" "0" "0" "2" "5" "0" "0" "3" "8" "0" "0" "2" "1"
"4493.6" "4" "3" "9" "0" "2" "3" "4" "0" "2" "0" "12" "0" "2" "0" "0" "0" "2" "2" "2" "3" "0" "3" "0" "2" "5" "0" "4" "3" "8" "0" "0" "2" "1"
"4493.7" "0" "0" "9" "0" "2" "3" "4" "0" "0" "0" "12" "0" "2" "0" "0" "0" "2" "2" "2" "3" "0" "0" "2" "2" "5" "0" "0" "0" "8" "2" "0" "2" "1"
"4493.8" "0" "0" "9" "0" "2" "3" "4" "0" "0" "0" "12" "0" "2" "6" "0" "0" "2" "0" "2" "3" "0" "0" "0" "2" "5" "0" "0" "0" "8" "0" "0" "2" "1"
"4493.9" "3" "0" "9" "13" "0" "3" "4" "4" "0" "0" "12" "8" "2" "0" "0" "2" "2" "0" "2" "3" "2" "3" "0" "2" "5" "2" "0" "5" "0" "0" "0" "0" "1"
"4493.10" "3" "0" "9" "0" "2" "3" "4" "4" "0" "0" "12" "8" "2" "0" "0" "2" "2" "0" "2" "3" "0" "3" "0" "2" "5" "2" "0" "5" "0" "0" "0" "0" "1"
"4493.11" "3" "0" "9" "0" "0" "3" "4" "4" "0" "0" "12" "8" "2" "0" "0" "2" "2" "0" "2" "3" "0" "2" "0" "2" "5" "2" "0" "0" "0" "0" "0" "0" "1"
"4493.12" "3" "0" "9" "0" "0" "3" "4" "4" "0" "0" "12" "8" "2" "0" "2" "2" "2" "0" "2" "3" "0" "2" "2" "2" "5" "2" "0" "0" "0" "0" "0" "0" "1"
"4493.13" "3" "0" "9" "2" "2" "3" "4" "4" "0" "0" "12" "8" "2" "0" "0" "2" "2" "0" "2" "3" "0" "0" "0" "2" "5" "2" "0" "0" "2" "0" "2" "5" "1"
"4493.14" "3" "0" "9" "2" "2" "3" "4" "4" "0" "0" "12" "8" "2" "0" "0" "2" "2" "0" "2" "3" "0" "0" "0" "2" "5" "2" "0" "0" "0" "0" "0" "5" "1"
"4493.15" "3" "0" "9" "2" "0" "3" "4" "4" "0" "2" "12" "8" "2" "0" "2" "2" "2" "2" "2" "3" "0" "0" "2" "2" "5" "2" "0" "3" "12" "0" "0" "5" "1"
"4493.16" "3" "0" "9" "2" "0" "3" "4" "4" "5" "2" "12" "8" "2" "0" "2" "2" "2" "0" "2" "3" "0" "0" "0" "2" "5" "2" "0" "0" "12" "0" "2" "5" "1"
"4493.17" "0" "0" "9" "2" "4" "2" "4" "0" "10" "0" "12" "0" "0" "0" "4" "0" "2" "0" "2" "3" "2" "0" "0" "2" "5" "0" "0" "5" "5" "0" "0" "0" "1"
"4493.18" "0" "0" "9" "2" "4" "2" "4" "0" "0" "0" "12" "0" "0" "0" "4" "0" "2" "0" "2" "3" "2" "0" "0" "2" "5" "0" "0" "5" "5" "0" "0" "0" "1"
"4493.19" "2" "26" "9" "2" "4" "2" "4" "0" "0" "0" "12" "0" "0" "0" "4" "0" "2" "0" "2" "0" "2" "0" "0" "2" "5" "0" "0" "5" "5" "0" "0" "4" "1"
"4493.20" "2" "0" "9" "2" "4" "2" "4" "0" "0" "0" "12" "6" "0" "0" "4" "4" "2" "0" "2" "0" "2" "0" "0" "2" "5" "2" "0" "5" "5" "0" "0" "0" "1"
