"","id","x","y","density","cell_type"
"1","tile_9",-2.4,-3.46410161513775,4,"1"
"2","tile_10",-1.2,-3.46410161513775,4,"2"
"3","tile_11",0,-3.46410161513775,5,"1"
"4","tile_12",1.2,-3.46410161513775,6,"5"
"5","tile_13",2.4,-3.46410161513775,5,"5"
"6","tile_14",3.59976725705564,-3.46410161214809,1,"6"
"7","tile_15",-3.59976725705564,-2.77128128651866,2,"1"
"8","tile_16",-2.4,-2.7712812921102,7,"1"
"9","tile_17",-1.2,-2.7712812921102,8,"1"
"10","tile_18",0,-2.7712812921102,8,"1"
"11","tile_19",1.2,-2.7712812921102,9,"2"
"12","tile_20",2.4,-2.7712812921102,8,"6"
"13","tile_21",3.59976725705564,-2.77128128651866,1,"3"
"14","tile_22",-3.59976725705564,-2.078460964889,4,"1"
"15","tile_23",-2.4,-2.07846096908265,7,"1"
"16","tile_24",-1.2,-2.07846096908265,12,"1"
"17","tile_25",0,-2.07846096908265,8,"1"
"18","tile_26",1.2,-2.07846096908265,9,"1"
"19","tile_27",2.4,-2.07846096908265,7,"5"
"20","tile_28",3.59976725705564,-2.078460964889,3,"2"
"21","tile_29",-3.59976725705564,-1.38564064325933,5,"1"
"22","tile_30",-2.4,-1.3856406460551,8,"1"
"23","tile_31",-1.2,-1.3856406460551,11,"1"
"24","tile_32",0,-1.3856406460551,10,"1"
"25","tile_33",1.2,-1.3856406460551,10,"2"
"26","tile_34",2.4,-1.3856406460551,9,"2"
"27","tile_35",3.59976725705564,-1.38564064325933,4,"3"
"28","tile_36",-3.59976725705564,-0.692820317629898,5,"1"
"29","tile_37",-2.4,-0.692820323027551,11,"1"
"30","tile_38",-1.2,-0.692820323027551,11,"1"
"31","tile_39",0,-0.692820323027551,12,"1"
"32","tile_40",1.2,-0.692820323027551,8,"6"
"33","tile_41",2.4,-0.692820323027551,8,"1"
"34","tile_42",3.59976725705564,-0.692820317629898,4,"1"
"35","tile_43",-3.59976725705564,0,3,"1"
"36","tile_44",-2.4,-5.55111512312578e-17,8,"1"
"37","tile_45",-1.2,-5.55111512312578e-17,9,"1"
"38","tile_46",0,-5.55111512312578e-17,10,"1"
"39","tile_47",1.2,-5.55111512312578e-17,12,"2"
"40","tile_48",2.4,-5.55111512312578e-17,9,"1"
"41","tile_49",3.59976725705564,0,4,"2"
"42","tile_50",-3.59976725705564,0.692820317629898,3,"1"
"43","tile_51",-2.4,0.692820323027551,10,"1"
"44","tile_52",-1.2,0.692820323027551,8,"1"
"45","tile_53",0,0.692820323027551,12,"1"
"46","tile_54",1.2,0.692820323027551,12,"2"
"47","tile_55",2.4,0.692820323027551,8,"1"
"48","tile_56",3.59976725705564,0.692820317629898,5,"5"
"49","tile_57",-3.59976725705564,1.38564064325933,4,"1"
"50","tile_58",-2.4,1.3856406460551,9,"1"
"51","tile_59",-1.2,1.3856406460551,10,"1"
"52","tile_60",0,1.3856406460551,10,"1"
"53","tile_61",1.2,1.3856406460551,11,"1"
"54","tile_62",2.4,1.3856406460551,8,"2"
"55","tile_63",3.59976725705564,1.38564064325933,5,"2"
"56","tile_64",-3.59976725705564,2.078460964889,3,"3"
"57","tile_65",-2.4,2.07846096908265,6,"3"
"58","tile_66",-1.2,2.07846096908265,9,"1"
"59","tile_67",0,2.07846096908265,7,"1"
"60","tile_68",1.2,2.07846096908265,9,"6"
"61","tile_69",2.4,2.07846096908265,9,"1"
"62","tile_70",3.59976725705564,2.078460964889,4,"1"
"63","tile_71",-3.59976725705564,2.77128128651866,2,"1"
"64","tile_72",-2.4,2.7712812921102,9,"1"
"65","tile_73",-1.2,2.7712812921102,7,"1"
"66","tile_74",0,2.7712812921102,8,"1"
"67","tile_75",1.2,2.7712812921102,9,"1"
"68","tile_76",2.4,2.7712812921102,5,"1"
"69","tile_77",3.59976725705564,2.77128128651866,2,"1"
"70","tile_78",-3.59976725705564,3.46410161214809,1,"1"
"71","tile_79",-2.4,3.46410161513775,5,"1"
"72","tile_80",-1.2,3.46410161513775,5,"1"
"73","tile_81",0,3.46410161513775,7,"1"
"74","tile_82",1.2,3.46410161513775,6,"1"
"75","tile_83",2.4,3.46410161513775,6,"1"
"76","tile_84",3.59976725705564,3.46410161214809,1,"1"
"77","tile_94",-1.79999999503226,-3.73181806374998,2,"1"
"78","tile_95",-0.599999996984677,-3.73181806374998,3,"1"
"79","tile_96",0.599999996984677,-3.73181806374998,3,"5"
"80","tile_97",1.79999999503226,-3.73181806374998,1,"3"
"81","tile_101",-3,-3.11769145362398,5,"1"
"82","tile_102",-1.8,-3.11769145362398,8,"1"
"83","tile_103",-0.6,-3.11769145362398,7,"1"
"84","tile_104",0.6,-3.11769145362398,6,"2"
"85","tile_105",1.8,-3.11769145362398,5,"1"
"86","tile_106",3,-3.11769145362398,4,"3"
"87","tile_109",-3,-2.42487113059643,6,"1"
"88","tile_110",-1.8,-2.42487113059643,8,"1"
"89","tile_111",-0.6,-2.42487113059643,7,"1"
"90","tile_112",0.6,-2.42487113059643,10,"5"
"91","tile_113",1.8,-2.42487113059643,7,"2"
"92","tile_114",3,-2.42487113059643,6,"5"
"93","tile_117",-3,-1.73205080756888,9,"1"
"94","tile_118",-1.8,-1.73205080756888,8,"1"
"95","tile_119",-0.6,-1.73205080756888,9,"1"
"96","tile_120",0.6,-1.73205080756888,13,"3"
"97","tile_121",1.8,-1.73205080756888,9,"2"
"98","tile_122",3,-1.73205080756888,5,"3"
"99","tile_125",-3,-1.03923048454133,4,"1"
"100","tile_126",-1.8,-1.03923048454133,7,"1"
"101","tile_127",-0.6,-1.03923048454133,9,"1"
"102","tile_128",0.6,-1.03923048454133,11,"1"
"103","tile_129",1.8,-1.03923048454133,11,"5"
"104","tile_130",3,-1.03923048454133,7,"1"
"105","tile_133",-3,-0.346410161513776,8,"1"
"106","tile_134",-1.8,-0.346410161513776,12,"1"
"107","tile_135",-0.6,-0.346410161513776,11,"1"
"108","tile_136",0.6,-0.346410161513776,11,"1"
"109","tile_137",1.8,-0.346410161513776,10,"2"
"110","tile_138",3,-0.346410161513776,7,"1"
"111","tile_141",-3,0.346410161513775,8,"1"
"112","tile_142",-1.8,0.346410161513775,9,"1"
"113","tile_143",-0.6,0.346410161513775,11,"3"
"114","tile_144",0.6,0.346410161513775,9,"2"
"115","tile_145",1.8,0.346410161513775,11,"1"
"116","tile_146",3,0.346410161513775,7,"1"
"117","tile_149",-3,1.03923048454133,6,"1"
"118","tile_150",-1.8,1.03923048454133,9,"5"
"119","tile_151",-0.6,1.03923048454133,10,"1"
"120","tile_152",0.6,1.03923048454133,8,"5"
"121","tile_153",1.8,1.03923048454133,8,"1"
"122","tile_154",3,1.03923048454133,8,"1"
"123","tile_157",-3,1.73205080756888,8,"3"
"124","tile_158",-1.8,1.73205080756888,10,"1"
"125","tile_159",-0.6,1.73205080756888,14,"1"
"126","tile_160",0.6,1.73205080756888,12,"1"
"127","tile_161",1.8,1.73205080756888,9,"1"
"128","tile_162",3,1.73205080756888,5,"2"
"129","tile_165",-3,2.42487113059643,8,"1"
"130","tile_166",-1.8,2.42487113059643,7,"1"
"131","tile_167",-0.6,2.42487113059643,9,"1"
"132","tile_168",0.6,2.42487113059643,9,"2"
"133","tile_169",1.8,2.42487113059643,8,"1"
"134","tile_170",3,2.42487113059643,8,"1"
"135","tile_173",-3,3.11769145362398,5,"1"
"136","tile_174",-1.8,3.11769145362398,7,"1"
"137","tile_175",-0.6,3.11769145362398,7,"1"
"138","tile_176",0.6,3.11769145362398,6,"1"
"139","tile_177",1.8,3.11769145362398,5,"1"
"140","tile_178",3,3.11769145362398,4,"3"
"141","tile_182",-1.79999999503226,3.73181806374998,1,"6"
"142","tile_183",-0.599999996984677,3.73181806374998,2,"1"
"143","tile_184",0.599999996984677,3.73181806374998,1,"1"
