"","id","x","y","density","cell_type"
"1","tile_15853",-756,-48.4974226119286,1,"Astro"
"2","tile_15854",-744,-48.4974226119286,1,"Astro"
"3","tile_15863",-636,-48.4974226119286,1,"Astro"
"4","tile_15864",-624,-48.4974226119286,1,"Astro"
"5","tile_15869",-564,-48.4974226119286,1,"Olig2"
"6","tile_15871",-540,-48.4974226119286,1,"Astro"
"7","tile_15872",-528,-48.4974226119286,2,"Astro"
"8","tile_15873",-516,-48.4974226119286,2,"L5"
"9","tile_15874",-504,-48.4974226119286,1,"L5"
"10","tile_15875",-492,-48.4974226119286,1,"L5"
"11","tile_15876",-480,-48.4974226119286,1,"L5"
"12","tile_15878",-456,-48.4974226119286,1,"L5"
"13","tile_15879",-444,-48.4974226119286,3,"L5"
"14","tile_15881",-420,-48.4974226119286,1,"L5"
"15","tile_15882",-408,-48.4974226119286,2,"L5"
"16","tile_15883",-396,-48.4974226119286,1,"L5"
"17","tile_15884",-384,-48.4974226119286,2,"L5"
"18","tile_15885",-372,-48.4974226119286,1,"L5"
"19","tile_15886",-360,-48.4974226119286,2,"L5"
"20","tile_15887",-348,-48.4974226119286,2,"L5"
"21","tile_15892",-288,-48.4974226119286,1,"L5"
"22","tile_15893",-276,-48.4974226119286,4,"L5"
"23","tile_15896",-240,-48.4974226119286,1,"L5"
"24","tile_15897",-228,-48.4974226119286,1,"L5"
"25","tile_15898",-216,-48.4974226119286,1,"L5"
"26","tile_15899",-204,-48.4974226119286,1,"L5"
"27","tile_15900",-192,-48.4974226119286,1,"L5"
"28","tile_15908",-96,-48.4974226119286,2,"L5"
"29","tile_15909",-84,-48.4974226119286,1,"L5"
"30","tile_15911",-60,-48.4974226119286,1,"L4"
"31","tile_15912",-48,-48.4974226119286,1,"L4"
"32","tile_15916",0,-48.4974226119286,1,"L5"
"33","tile_15919",36,-48.4974226119286,1,"L4"
"34","tile_15922",72,-48.4974226119286,1,"L5"
"35","tile_15924",96,-48.4974226119286,1,"L4"
"36","tile_15926",120,-48.4974226119286,1,"L5"
"37","tile_15928",144,-48.4974226119286,1,"L4"
"38","tile_15930",168,-48.4974226119286,1,"L4"
"39","tile_15934",216,-48.4974226119286,1,"L4"
"40","tile_15936",240,-48.4974226119286,1,"L4"
"41","tile_15937",252,-48.4974226119286,1,"L4"
"42","tile_15961",540,-48.4974226119286,1,"L4"
"43","tile_15994",-732,-41.5692193816531,1,"Astro"
"44","tile_16004",-612,-41.5692193816531,1,"Astro"
"45","tile_16005",-600,-41.5692193816531,2,"L5"
"46","tile_16007",-576,-41.5692193816531,1,"Olig2"
"47","tile_16008",-564,-41.5692193816531,2,"L5"
"48","tile_16009",-552,-41.5692193816531,1,"L5"
"49","tile_16010",-540,-41.5692193816531,1,"Olig2"
"50","tile_16011",-528,-41.5692193816531,2,"L5"
"51","tile_16012",-516,-41.5692193816531,1,"Olig2"
"52","tile_16013",-504,-41.5692193816531,1,"L5"
"53","tile_16014",-492,-41.5692193816531,1,"L5"
"54","tile_16017",-456,-41.5692193816531,2,"L5"
"55","tile_16018",-444,-41.5692193816531,3,"L5"
"56","tile_16021",-408,-41.5692193816531,1,"L5"
"57","tile_16023",-384,-41.5692193816531,1,"L5"
"58","tile_16025",-360,-41.5692193816531,1,"L5"
"59","tile_16026",-348,-41.5692193816531,2,"L5"
"60","tile_16027",-336,-41.5692193816531,2,"L5"
"61","tile_16028",-324,-41.5692193816531,1,"L5"
"62","tile_16030",-300,-41.5692193816531,1,"L5"
"63","tile_16032",-276,-41.5692193816531,1,"L5"
"64","tile_16033",-264,-41.5692193816531,1,"L5"
"65","tile_16034",-252,-41.5692193816531,1,"L5"
"66","tile_16035",-240,-41.5692193816531,2,"L5"
"67","tile_16036",-228,-41.5692193816531,3,"L5"
"68","tile_16037",-216,-41.5692193816531,1,"L5"
"69","tile_16038",-204,-41.5692193816531,1,"L5"
"70","tile_16039",-192,-41.5692193816531,2,"L5"
"71","tile_16040",-180,-41.5692193816531,2,"L5"
"72","tile_16041",-168,-41.5692193816531,1,"L6"
"73","tile_16043",-144,-41.5692193816531,1,"L5"
"74","tile_16044",-132,-41.5692193816531,1,"L5"
"75","tile_16046",-108,-41.5692193816531,3,"L5"
"76","tile_16047",-96,-41.5692193816531,1,"L5"
"77","tile_16049",-72,-41.5692193816531,1,"intermediate"
"78","tile_16051",-48,-41.5692193816531,1,"L5"
"79","tile_16053",-24,-41.5692193816531,2,"L5"
"80","tile_16054",-12,-41.5692193816531,1,"L5"
"81","tile_16062",84,-41.5692193816531,1,"L5"
"82","tile_16063",96,-41.5692193816531,1,"L5"
"83","tile_16065",120,-41.5692193816531,1,"L4"
"84","tile_16066",132,-41.5692193816531,1,"L4"
"85","tile_16068",156,-41.5692193816531,1,"L4"
"86","tile_16069",168,-41.5692193816531,1,"L4"
"87","tile_16070",180,-41.5692193816531,1,"L4"
"88","tile_16071",192,-41.5692193816531,1,"L4"
"89","tile_16078",276,-41.5692193816531,1,"L4"
"90","tile_16079",288,-41.5692193816531,1,"L6"
"91","tile_16081",312,-41.5692193816531,1,"L4"
"92","tile_16082",324,-41.5692193816531,3,"L4"
"93","tile_16084",348,-41.5692193816531,2,"L4"
"94","tile_16088",396,-41.5692193816531,1,"L4"
"95","tile_16090",420,-41.5692193816531,1,"L4"
"96","tile_16092",444,-41.5692193816531,1,"Olig1"
"97","tile_16093",456,-41.5692193816531,1,"L4"
"98","tile_16095",480,-41.5692193816531,1,"L4"
"99","tile_16098",516,-41.5692193816531,2,"L4"
"100","tile_16104",588,-41.5692193816531,1,"L6"
"101","tile_16116",732,-41.5692193816531,1,"L6"
"102","tile_16128",-792,-34.6410161513775,1,"Olig2"
"103","tile_16130",-768,-34.6410161513775,1,"Olig2"
"104","tile_16131",-756,-34.6410161513775,1,"Astro"
"105","tile_16136",-696,-34.6410161513775,1,"Astro"
"106","tile_16141",-636,-34.6410161513775,1,"L2/3"
"107","tile_16142",-624,-34.6410161513775,1,"Astro"
"108","tile_16143",-612,-34.6410161513775,1,"Olig2"
"109","tile_16144",-600,-34.6410161513775,3,"L5"
"110","tile_16145",-588,-34.6410161513775,3,"Astro"
"111","tile_16147",-564,-34.6410161513775,1,"Astro"
"112","tile_16148",-552,-34.6410161513775,2,"Astro"
"113","tile_16149",-540,-34.6410161513775,2,"L5"
"114","tile_16151",-516,-34.6410161513775,3,"L5"
"115","tile_16152",-504,-34.6410161513775,1,"L5"
"116","tile_16153",-492,-34.6410161513775,2,"Astro"
"117","tile_16155",-468,-34.6410161513775,2,"L5"
"118","tile_16156",-456,-34.6410161513775,2,"L5"
"119","tile_16158",-432,-34.6410161513775,3,"Astro"
"120","tile_16159",-420,-34.6410161513775,1,"L5"
"121","tile_16162",-384,-34.6410161513775,1,"L5"
"122","tile_16164",-360,-34.6410161513775,3,"L5"
"123","tile_16165",-348,-34.6410161513775,3,"L5"
"124","tile_16166",-336,-34.6410161513775,5,"L5"
"125","tile_16168",-312,-34.6410161513775,2,"L5"
"126","tile_16169",-300,-34.6410161513775,2,"L5"
"127","tile_16170",-288,-34.6410161513775,3,"L5"
"128","tile_16171",-276,-34.6410161513775,3,"L5"
"129","tile_16172",-264,-34.6410161513775,1,"L5"
"130","tile_16174",-240,-34.6410161513775,1,"L5"
"131","tile_16175",-228,-34.6410161513775,1,"L5"
"132","tile_16176",-216,-34.6410161513775,3,"L5"
"133","tile_16177",-204,-34.6410161513775,2,"L5"
"134","tile_16179",-180,-34.6410161513775,1,"L5"
